Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"TACG is a driven Alaskan Native 8(a) professional consulting firm, that focuses on employee growth in collaboration with client delivery. Our portfolio ranges from support work with Health and Human Services to highly skilled Defense consulting. We have recently been awarded as one of INC.5000's fastest growing companies and received multiple best places to work awards. How can you help shape TACG?
Position Summary:

TACG is looking for a Data Scientist to support the business in defining information/data requirements to allow for the design, development, testing/evaluation, implementation and sustainment of critical business applications and IT capabilities. The Data Scientist will provide technical expertise in Business Intelligence (BI) tools and programming languages to support data analytics, data visualizations, and predictive analysis.

Responsibilities:
Applies analytic methodologies and principles to address client needs.
Applies analytic techniques in the evaluation of project objectives and contributes to the implementation of strategic direction.
Performs analyst functions including data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Performs data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Required Knowledge, Skills and Experience:
Excellent analytical skills
Experience using SQL, Python, and R languages for statistical analysis
Experience using Tableau Desktop, Prep Builder and Reader for the generation, sustainment and viewing of data visualization dashboards
Experience in ETL, specifically with data resident on SharePoint
3 years of experience with a Bachelor's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering; or, 1 year of experience with a Master's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering.
Education & Certification Requirements:
Four year degree or a Master's Degree in Computer Science, Business, Management or related field
Preferred Skills:
Creative thinker
Strong communication skills
Proficient in MS Office suite of tools, specifically MS Excel.
Excellent team skills.
Experience or understanding of AF or DoD processes, data and systems
Disclaimer:
The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.

Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
All work will be performed in an office environment.
Physical Requirements:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The employee is frequently required to talk or hear. The employee is occasionally required to stand, walk; reach with hands and arms to stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by the job include close vision.
Citizenship: United States
Security Clearance: NACI background will be required
Percent of Travel Required: Up to 10%
FLSA Status: Full-time, Exempt
Benefits:
We understand that our employees make us the great company we are, so we want to give back as much as possible. Whether it's our flexible wellness program that gives you the power to do what makes you happy or focusing on career development utilizing our tuition reimbursement, we're sure to have every benefit you're looking for, to also include; matching 401(k), Medical, Vision, and Dental Coverage and much more!

TACG is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",4.6,"TACG Solutions
4.6","Dayton, OH",51 to 200 Employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist,"$90K-$146K
(Glassdoor Est.)","WHO WE ARE


Postmates enables anyone to have just about anything on-demand. We pioneered the on-demand space and currently serve 80% of US households with a fleet of more than 350,000 Postmates and the largest network of merchants in the US. We're changing the landscape of commerce by making cities our warehouses, providing the delivery infrastructure, and connecting our customers to any product, anywhere, anytime. Postmates isn't just an app, it's a way of life and a part of pop culture. We are the O.G. of on-demand and we've given people a new superpower — the ability to Postmate anything from anywhere. We're building a movement to make Postmates a verb: Postmate it.

WHAT WE DO


Postmates relies heavily on our engineering team to realize this vision. Building a software platform that is reliable, scales, and stays agile under demanding product needs is a serious technical challenge. Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time. If any piece is out of whack, the whole system suffers. Working with the Postmates engineering team offers an opportunity with explosive growth, cutting-edge technology, a highly visible charter, and a cool user-focused product vision.

As a Data Scientist, you'll use your full toolkit - statistical modeling, machine learning, data mining, data visualization, and software engineering - to develop data products and models that are used by millions of users and power the growth of our business. You will collaborate with a strong team of engineers, product managers and data analysts in defining the frontier of data products and models in the three-sided marketplace. Data scientists will work on how to formulate a model from a real business problem, determine evaluation metrics, evaluate different modeling approaches, conduct data analysis, and build features and algorithms for the various challenging problems at Postmates.

YOUR RESPONSIBILITIES
Modeling and forecasting demand and supply to enable more intelligent matching, optimize the overall marketplace efficiency and provide valuable insights to our merchants and Postmates
Large scale Machine Learning algorithms that powers our Search Ranking models and Personalized Recommendation Engine
Predicting the Postmates Delivery Time (PDT) and improving the dispatching algorithm
Determining the optimal pricing strategies to help our Postmates maximize their revenue
Identifying suspicious transactions and malicious users for risk control
Natural Language Processing to understand text content on Postmates platform, including named entity resolution and recognization of reviews, descriptions and interactions between users on our marketplace
OUR REQUIREMENTS
A Bachelor's/Master's degree (or higher) in a technical field (Computer Science, Statistics, Economics, Operations Research, Math, Physics, Engineering, etc.) or equivalent work experience required.
minimum of 3+ years of professional experience in Data Science or Applied Machine Learning required
A deep theoretical understanding of modern machine learning algorithms, statistical models, or optimization
Extensive experience with data tools, Python (Pandas, Scipy, Numpy, Scikit-Learn, etc), R, SAS, SQL, etc and strong skills in data analysis, data visualization, and feature engineering
Ability to own your modeling work from model development all the way to production deployment and beyond with minimal help from engineers
Strong communication skills; Explaining complex technical concepts to product managers, data analysts, and other engineers shouldn't be a problem for you
OUR PREFERRED QUALIFICATIONS
Experience with MapReduce, Spark, Hive, HBase, Google BigQuery, and BigTable
Experience with ML frameworks like Tensorflow, PyTorch, Spark MLlib, XGBoost, and Scikit-Learn
YOUR BENEFITS

Postmates has your back. In our impact-first work environment, we value huge company vision. As you strive to build the future with us, we'll support you with a competitive salary and equity plan, along with access to our 401k plan and robust benefits including: health benefits, flexible paid time off, parental benefits, and food perks.",3.3,"Postmates
3.3","San Francisco, CA",1001 to 5000 Employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable
Lead Data Scientist (Life Insurance),"$78K-$131K
(Glassdoor Est.)","REPORTS TO: Director of Finance

FLSA STATUS: Exempt

TRAVEL: 0%-10%

WORK SCHEDULE: M-F, may need to flex times due to business needs

LOCATION: Downtown Hartford, CT. Open to remote work for the right candidate.

COMPANY OVERVIEW:

Covr Technologies is a leading, InsurTech venture capital-backed company, focused on using technology to simplify the buying process for life insurance and related products. As an innovator in a rapidly evolving industry, Covr is a technology-driven company that provides a simpler way for people to protect what matters most. Through partnerships with financial institutions and advisors, Covr's innovative digital platform provides the capability to research, compare and buy life insurance from top providers, fully online and within minutes. Our employees enjoy a casual dress code, flexible hours and progressive work environment. We have a strong culture based on our core values: Client First, Integrity, Innovation, Collaboration, Fun!

JOB SUMMARY:

The position will report directly to the Director of Finance with an indirect reporting line to the President and CEO of Covr and will work cross-functionally with teams to drive understanding of how data is used to improve decision making, product effectiveness and sales execution. Internally the title for this role is Lead, Business Analytics and Data Science. The individual should have an affinity for enabling data-driven decisions with a bias toward action. Must enjoy the process of breaking down complex data sets and problems into comprehensible and actionable insights.

ESSENTIAL JOB FUNCTIONS, DUTIES, AND PERFORMANCE RESPONSIBILITIES:

Analyze KPIs and key business analytics
Develop productive data models to direct priority sales and service activities
Research customer data segments for business development
Develop, maintain, and improve holistic data sets, reports, and dashboards to monitor company performance
Analyze business intelligence and support the business by communicating key insights, risks, and findings to management
Use a data-informed approach to inform and drive day-to-day focus and operational efficiencies
Develop deep insights into customer segments and use data modeling to improve buying behaviors and conversion rates.
Performs other duties and projects as assigned

JOB SPECIFICATIONS AND QUALIFICATIONS:

Education and Experience:

B.A. or B.S. Business, Predictive Analytics, Data Science or other related area of study.
Minimum of 2 years of relevant work related experience
Experience within the life insurance industry a plus

Knowledge and Skills:

Experience conducting analysis of various types including predictive analytics and sales analytics a plus
Experience in building production-level algorithms and predictive analytics systems along with data pipelines
Solid experience in MS Office applications (Word, Excel, Outlook, etc.) and other applications (SAS, SQL, Power BI, Tableau, etc)
Experience working with cloud database technologies, such as Amazon Web Services (Amazon Redshift), S3, and/or Snowflake and/or Google Analytics
Strong critical thinking and organizational skills; including customer facing and strong communication skills. Needs to interpret data and make recommendations to business leaders and customers.
Knowledge of B2B2C and B2C environments with financial institution and consumer direct channels
Strong work ethic and high level of personal integrity and accountability

BENEFITS PACKAGE:

Check out our Employee Reviews on Glassdoor and Indeed to learn more about our culture!

We offer a competitive benefits package:

Paid Time Off (PTO): 3 weeks to start increasing with years of service
Paid holiday’s – 10.5 days, including two 4-day weekends!
NEW - Downtown parking subsidy
NEW - Summer Hours Program
Medical, Dental and Vision – 90% of monthly premium paid by Covr for all full-time employees
HSA employer contribution of $600/yr ($150/qtr)
Adult and child orthodontia
Health Savings Account (HSA) with quarterly company contributions
Short-Term and Long-Term Disability
NEW - Pet insurance for cats and dogs!
NEW - Paid Community Volunteer Program
401(k) with company match at 3.5%
Company paid Life and AD&D insurance of $25,000 for all full-time employees.
Supplemental Life and AD&D insurance up to 5x’s salary for employee up to $300,000
Supplemental Life and AD& D plans offered for spouse up to $100,00 and dependents up to $10,000
Flexible Spending Accounts (FSAs): medical, dependent, parking and transit

To Submit an Application/Questions:

Internal Applicants: Apply through Covr’s YourSource self-service portal.
External Employees: Submit an external application by going to www.covrtech.com/careers/
Have a question about an open position… Text your question directly to our HR department at (208) 417-8305. We check our messages frequently throughout the day and will get back to you as soon as possible.

Key Words: analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database, analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database, analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database. machine learning, predictive analytics, Power BI, AI, google analytics, machine learning, predictive analytics, Power BI, AI, google analytics, machine learning, predictive analytics, Power BI, AI, google analytics, life insurance, insurance industry, life insurance, life insurance, sales analytics, predictive analytics, sales analytics, predictive analytics, sales analytics, predictive analytics, data scientist, data science, data governance, data scientist, data science, data governance, data scientist, data science, data governance

Powered by JazzHR

zloWsGQdAp",4.5,"Covr Financial Technologies
4.5","Hartford, CT",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Sr. Data Scientist,"$71K-$118K
(Glassdoor Est.)","Overview:

Medifast is seeking a full-time Senior Data Scientist to join our team.

The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.

The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Responsibilities:
Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources
Qualifications:
PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.

#LI-LW1",2.9,"Medifast, Inc.
2.9","Baltimore, MD",501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD)
STAFF SCIENTIST,"$24K-$51K
(Glassdoor Est.)","Position: Staff Scientist

Requisition Number: 2020-2410-09

S&ME is an employee-owned engineering firm that provides civil, geotechnical, environmental, planning, landscape architecture, survey and construction services. Consistently ranked in the top 100 of ENR's Top 500 Design Firms, our markets are diverse and include transportation, energy, water/wastewater, commercial development, industry, healthcare, education and government. We recruit top talent and are currently seeking a Staff Scientist to join our team in Chattanooga, Tennessee.

The individual will perform field and office work associated with environment evaluations. Field work will include: soil sampling, groundwater sampling, surface water sampling, sediment sampling, wetland delineations, stream classifications, and fauna/flora identification. Other responsibilities include completing data entry to capture field activities, and the preparation of standard environmental reports. This individual will be expected to maintain knowledge of, and compliance with, regulatory requirements by attending environmental or natural resources training courses, or other in-house trainings. This position will require some travel and overnight stays.

Qualifications:
BS in environmental science, geology, biology, chemistry or related field;
2-4 years field experience in related field;
Ability to work outdoors in varying weather conditions;
Ability and willingness to accommodate overnight and out-of-town assignments;
Good technical writing, verbal communication, and computer skills.
This is a full-time position with competitive pay based on experience. Successful candidate must meet requirements of the company's Fleet Management Program, Substance Policy and Reference Check program. Submit resume, cover letter, and salary expectations for consideration. Only qualified candidates with acceptable employment eligibility verification (I-9) will be considered. Visa assistance not provided. S&ME reserves the right to fill this position with an internal or external candidate at any time during the search. S&ME is not responsible for unauthorized job postings or submissions of resumes using external links/websites.

No candidate/recruiter calls, personal calls or walk-ins accepted.

An Equal Opportunity Employer.

Minorities/Females/Disability/Veterans; VEVRAA Federal Contractor

Job Posted by ApplicantPro",3.6,"S&ME, Inc.
3.6","Chattanooga, TN",1001 to 5000 Employees,1973,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD)
Data Scientist,-1,"Job Description:

Our Advanced Data Analytics division in Reston, VA is seeking a talented Data Scientist for R&D projects with large amounts of complex data. As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine learning and data mining problems. Applicants interested in applying only off-the-shelf solutions need not apply. Project teams are small, typically 2-5 people including Data Scientists, Mathematicians, and Software Developers. Each person is involved in the project’s entire process, from concept through design and implementation to demonstration. Our management structure gives you the freedom to create innovative designs and products. The ideal candidate will have experience writing well-documented, maintainable, and extensible software and APIs.

Required Qualifications:
Bachelor’s or Master’s degree in Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field
Significant experience developing and knowledge of best practices for evaluating innovative, scalable anomaly detection, classification, recommendation, and related algorithms
Significant programming experience in Python, Java, Scala, or R
Experience with machine learning software libraries such as scikit-learn and Weka
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, Torch, and Deeplearning4j a plus
Experience with big data tools such as Apache Spark, Mahout, or Storm a plus
Experience with NLP (Natural Language Processing) a plus
Ability to communicate algorithm design, performance metrics, and data analyses in written and oral reports
US CITIZENSHIP REQUIRED; applicants selected will be subject to a security investigation and will need to meet eligibility requirements for access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD)
Data Scientist,"$80K-$111K
(Glassdoor Est.)","Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","Atlanta, GA",201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Scientist,-1,"At White Ops, we are all about keeping it human. We are the global leader in bot mitigation. We protect more than 200 enterprises—including the largest internet platforms—from sophisticated bots by verifying the humanity of nearly one trillion online interactions every week. The most sophisticated bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them.

Founded in 2012 in a Brooklyn sci-fi bookstore, our Bot Mitigation Platform protects enterprises from the sophisticated bots that threaten them. It's an ongoing war that we fight passionately every day. Join our mission to stop bots, disrupt the economics of cyber crime, and keep it human.

The Data Science team at White Ops is building the algorithms that run behind the scenes and power our bot detection engine. We deploy state-of-the-art statistical and machine learning models at a massive scale that distinguish human activity from automated bots.

What you'll do:
Develop algorithms (i.e. rule based, statistical, machine learning) that automatically detect emerging threats
Evaluate and implement data analysis strategies to improve detection efficacy at internet-scale
Ad hoc investigations to respond to emerging threats with velocity and quality
Collaborate with product, engineering, customer success, to define and develop new product features that will delight our customers
Research for case studies and white papers on bot detection
Contribute to toolkits and platforms that scale detection analytics
Who you are:
You have a strong sense of ownership which drives you to find ways to do things better, faster, and cheaper
You look to find new and innovative ways to solve complex problems through rigorous experimentation, all by yourself
You are open, transparent and work in tight collaboration with anyone
You constantly drive for correctness and performance, in that order
You are a data scientist, analyst, engineer and have solved difficult problems to prove it
You have proficiency with SQL, Python
You have familiarity with tools, libraries and platforms such as Jupyter notebooks, Pandas, NumPy etc
Track record of independent, creative problem solving with large amounts of complex data
Knowledge of how the Internet works
Comfort with ad tech terminology
Background in data science for security is a plus
Knowledge of how web browsers work is a plus
Benefits and Perks
Unlimited vacation policy
Stock options, 401(k), and commuter benefits
Competitive salary and commission structure
Medical and dental insurance for all full-time employees
Fully paid parental leave
Professional development fund
Great coaching from senior leaders and challenging development opportunities
Life at White Ops:

Our HQ office is located in the heart of New York City. We are growing the company deliberately with a keen eye towards maintaining a culture that values diversity, lifestyle, and career growth. We are doing meaningful work and we need people to join our mighty team. We are proud of our overwhelmingly positive presence on Glassdoor and Built in NYC. We have offices located in NYC, DC, Victoria, and London.",3.8,"White Ops
3.8","New York, NY",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,-1,"NanoMosaic LLC, located in Woburn, Massachusetts, is focused on developing an innovative photonics technology for biomedical diagnostics and drug development. Our cutting-edge technology will enable new frontiers of medical research for ultrahigh-sensitivity detection of single molecules in low volume liquid biopsy samples.
We are looking for a candidate with a strong desire to bring a disruptive technology to market; playing a key role in a multidisciplinary team. This position will primarily focus on implementation of our data processing, informatics, and reporting pipeline.
Successful candidates must have solid knowledge and extensive experience with scripting in Python or similar language with special emphasis in machine vision applications. Emphasis is also placed on image processing techniques via machine learning methods as well as local and hosted system architecture development. Experience providing consumer-facing data visualizations is preferred. Additionally, candidates should possess a strong acumen for on-the-fly problem solving, communication, and system level thinking.

Responsibilities:
Develop, validate, implement, and support image analysis tools for our evolving data pipeline
Incorporate data pipeline revisions into our existing platform
Develop and integrate data reporting mechanism
General Qualifications:
Creative, hardworking, and organized. Must also show a track record of innovative problem solving in technical environments.
BS/BA degree in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.)
5+ years of directly related experience
Strong experience with image processing and image analysis
Strong background in Python
Strong problem-solving skills
Ability to prioritize tasks and remain agile in a small working group
Excellent communication skills are essential
Preferred Qualifications:
Master’s degree in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.) plus 5 years of experience.
Previous experience in application of statistical methods and machine learning techniques
Experience with wet-lab techniques (especially immunological)
Application experience with photonics, machine vision, and microscopy
Experience with laboratory automation including liquid handling, plate readers, plate washers, and incubators
Experience with other software platforms such as LabView, Matlab
Familiarity with regulatory framework and guidance for RUO and Dx software development

NanoMosaic LLC. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",-1,NanoMosaic,"Woburn, MA",Unknown,-1,Unknown,-1,-1,Less than $1 million (USD)
Data Scientist,"$80K-$134K
(Glassdoor Est.)","Company Description

MMIT is growing from the leading drug coverage data business into a comprehensive, integrated market access company serving pharmaceutical manufacturers, health insurers, PBMs and healthcare IT companies. Their suite of applications is designed to manage an ever-changing proprietary set of pharmacy and medical benefit information and to provide a structured view of complex market access information. By embedding their data and SaaS applications across healthcare, they help ensure transparency, consistency and informed prescription decisions across the MMIT Network. They partner with hundreds of payers and pharma manufacturers ensuring that their products continually capture and analyze coverage and restriction criteria for more than 98% covered lives.

Team Overview

The MMIT Product Management Team is charged with developing, growing and maintaining the MMIT product portfolio that smooth access to lifechanging therapies. This entails managing products through all phases of the product lifecycle, from concept to sunset. The product management team embraces a market-backed perspective, champions unmet client needs, and is committed to a highly accountable and collaborative Product Management approach.

Job Description

MMIT is seeking experienced Data Scientists to meaningful contributes to the growth and development of the MMIT product portfolio. Ideal candidates are comfortable working with large, complex data sets to help inform, simplify and actualize key product capabilities. They will have comfort collaborating with various stakeholders and navigating ambiguity with limited direction. They will dedicate themselves to understanding the MMIT product portfolio (both current capabilities and future product roadmaps) and key data dependencies to inform data models, architecture, and new product development.

To succeed in this role, you will apply your skillset to

· Inform, create and/or maintain master data hierarchy, attributes and structure.

· Bridge claims data and coverage data – Refine existing rules and create and continually improve new methods for accurately assigning pharmacy and medical claims volumes to MMIT controller entities

· Apply data science to the creation of short and long form geographic market and controller entity descriptive narratives (NLP / NLG)

· Translate product management strategy into actionable data science deliverables, guiding development of data models, business rules and other advanced analytical capabilities

· Excel at communicating across a broad set of cross-functional stakeholders.

· Work collaboratively with MMIT product and data teams to develop and/or commercialize analytics use cases that may include market access, coverage / lives, and RWE data

· Effectively partner with external organizations including clients and vendors to develop meaning and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.

· Identify and evaluate additional data sources that could be integrated in value enhancing ways.

· Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise.

· Support various commercial or commercialization efforts as needed.

· Take a leading role in developing data science as a discipline across product management, development and data operations.

Qualifications

Relevant Skills and Experiences

· Postgraduate degree or higher involving machine learning, statistics, or computer science

· Experience of statistical / machine learning projects in academia or commercial sector end to end with proven delivery capability including capturing requirements, designing analysis plans, interfacing with clients and report / manuscript writing

· Experience in applying Natural Language Processing and related AI capabilities.

· Experience working with large and complex healthcare datasets, preferably patient-level longitudinal data and experience with studies of treatment effectiveness/outcomes, disease progression, adherence, healthcare utilization, patient journey, sales targeting, prescription/procedure volumes/shares, provider networks and prescribing/treatment patterns, etc

· Strong related programming skills including experience with good coding practices and a thorough understanding of the data science package landscape. Familiarity with Tableau and PowerBI a plus.

· Familiarity with agile software development practices

· Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences, write analysis plans for projects, contribute to proposals / grant applications, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.

· Demonstrated ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest and exploration

· Proven ability to develop meaningful/valuable analytic insights from multiple data sources and support value through commercialization

Preferred candidates may also have

· Experience supporting or launching Data and Analytics or SaaS-based enterprise product

· Experience in managed markets and pharma market access ecosystem

· Experience in the commercial health insurance industry

· Knowledge of payer marketing, drug development lifecycle and drug launch process

Additional Information

All your information will be kept confidential according to EEO guidelines.

Position will be based in Livingston NJ or Yardley PA

(highly qualified remote applicants will be considered)

Travel Requirements:

Approximately <10>",3.8,"MMIT
3.8","Yardley, PA",201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
