Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_city,age,python_yn,R_yn,excel_yn,AWS_yn,SQL_yn
Professional Services Consultant,"$48K-$97K
(Glassdoor Est.)","Thycotic, a global leader in IT security, is the fastest growing provider of Privileged Access Management solutions that protect an organization’s most valuable assets from cyber-attacks and insider threats. Our mission is to make self-sufficient security champions, by making security tools people love to use that make privilege management achievable for everyone.

The results show:
--We have over 10,000 customers worldwide ranging from mid-sized organizations to Fortune 100 companies and are adding hundreds of new customers every quarter.
--We are growing at twice the rate of the overall PAM market (50% vs 25%).
-- We are among Inc. 5000 Fastest Growing Companies six years in a row.


Position Summary

The Professional Services (PS) Consultant delivers on pre-paid packaged services including installation, configuration, and customization of Thycotic software and custom engagements that may include scripting (with help from others at Thycotic), API use, and geo-replication. The individual collaborates with other Thycotic staff to ensure that Thycotic software solutions are successfully implemented as the foundation of a strategic Privilege Access Management program. The PS consultant will be involved with advanced troubleshooting and technical escalation management for a client account.

We are open to US location for this role, however it the right candidate must be willing to work EST hours. This position can be based in your remote home office or our DC headquarters. Generally, requires up to 35% travel.
Key Responsibilities
Lead the implementation of the Thycotic solutions in the client’s environment to Best Practices
Collaborate with the Project Management team to help scope engagements for Professional Services
Provide in depth consultative services which include advisement on general security principals, and how to effectively manage a Privileged Account Management project
Prepare and deliver technical presentations explaining products or services to customers and prospective customers
Work with clients to understand the technical architecture of their environments as it relates to the installation, configuration, upgrade, or enhancement of Secret Server
Install, upgrade and/or configure Thycotic software to work within the capabilities of the application for those requirements
Review the configuration decisions that are available to clients and provide guidance on best practices
Produce deliverables for client signoff such as installation plans, configuration plans, documentation on what was installed and configured, the architecture of the resulting environment, and any PowerShell scripts that were used
Build and maintain client relationships to become a trusted advisor
Work efficiently with client’s technical support team to solve client issues

Skills & Requirements
Bachelor’s Degree or higher in a technical field or equivalent experience
4+ years of full-time work experience managing or supporting enterprise systems and/or implementing enterprise-class software solutions – with Privilege Access Management preferred
Windows Server operating system and Active Directory experience
Implementing enterprise-class software dealing with Windows and Active Directory security
SQL Server Implementation (Reporting/Admin) experience
Ability to effectively manage multiple tasks and competing priorities.
Proven ability to effectively engage and work with sales, project managers, technical support, engineering, and other teams within an organization to drive client success.
Excellent verbal and written communication skills.
Working experience or ability to quickly learn all Microsoft workstation and server operating systems from XP to Server 2019
Expertise in TSQL queries and PowerShell is a significant plus
Experience with Thycotic Products a plus
Any Windows or SQL Server certifications a plus
Working experience with cloud deployments on Microsoft Azure a plus

Why Work at Thycotic?

We’re passionate problem-solvers doing our part to make the world a safer place. We invest in people who are smart, self-motivated and collaborative.

What we offer in return is meaningful work, a culture of innovation and great career progression!

Thycotic was named a “Best Places to Work” Award Winner in 2019 and 2020 in recognition of our positive work environment and culture, as reported by employees. A focus on employee advancement and our ethos of respect are just some of the reasons why people love working here!


Thycotic is an Equal Opportunity Employer and does not discriminate on the basis of race, ancestry, national origin, color, religion, gender, age, marital status, sexual orientation, disability, or veteran status.

Upon conditional offer of employment, candidates are required to complete a criminal background check and drug screen per Thycotic employment policy.",4.1,"Thycotic
4.1","Chicago, IL",201 to 500 Employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),0,0,48,97,72.5,"Thycotic
",Chicago,24,0,0,1,0,1
Associate Managing Consultant,"$83K-$150K
(Glassdoor Est.)","Business Title
Associate Managing Consultant

27-Jul-2020

Requisition Number
25355BR

Job Description and Requirements
At Synopsys, we’re at the heart of the innovations that change the way we work and play. Self-driving cars. Artificial Intelligence. The cloud. 5G. The Internet of Things. These breakthroughs are ushering in the Era of Smart Everything. And we’re powering it all with the world’s most advanced technologies for chip design and software security. If you share our passion for innovation, we want to meet you.

Our Software Security and Quality business is all about building secure software—faster. That starts with our static analysis, software composition analysis, and dynamic analysis so our customers can build security and quality into the DNA of their code at any stage of the software development lifecycle and across the supply chain. All while minimizing risks and maximizing speed of application development. To find out more about SIG, Synopsys check out https://www.synopsys.com/software-integrity.html.

Associate Managing Consultant

This is a position that requires you have a unique blend of business development, account management, and deep technical knowledge. As Synopsys engages with clients to propose and deliver our software security services and products, you will have direct responsibility for developing strong and lasting relationships with clients. You will also be effectively identifying and selling follow-on work to clients, assisting sales in selling new business to clients, ensuring contracts are properly managed and serving as an effective escalation point for client issues and problems on engagements.

Key Qualifications
Solid experience with software development or software application security
Thorough knowledge of SDLC
Sufficient applications security knowledge to effectively communicate the value of our services to the client and translate that to revenue
Understanding of software development processes, technologies, architectures, and practices, and software risk management
Proven ability to deliver solution strategies and implementations to clients
Understanding and highly effective client interface skills
Demonstrated understanding and ability to manage to Time & Material, Cost Plus, and Fix-Priced engagements
Experience running small consulting/delivery teams and project execution
Ability to create presentations, proposals and SOWs
Written communication skills include: formal documentation, statements of work, proposals, sources sought and request for information responses, white papers, case studies
Expected to manage client profitability and revenue growth.
Willingness to travel (up to 50%)
Education
Bachelor’s Degree in Computer Science, Engineering or equivalent. Master’s Degree preferred

Inclusion and Diversity are important to us. Synopsys considers all applicants for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, military veteran status, or disability.

#LI-DNI

Hiring Location
USA - Illinois - Chicago

Hire Type
Employee

Job Category
Software Security Consulting

Country
United States",4.1,"Synopsys
4.1","Chicago, IL",10000+ Employees,1986,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),0,0,83,150,116.5,"Synopsys
",Chicago,34,0,0,0,0,0
BI Developer - Jaspersoft,"$81K-$135K
(Glassdoor Est.)","Summary

Using statistical analysis and various data visualization techniques the candidate will collaborate with business users and technical teams across the organization to facilitate data-driven decision making by enabling exploration and analysis of historical and near real-time data access using on premise and cloud-based tools and technologies

Primary Duties and Responsibilities:
To perform this job successfully, an individual must be able to perform each primary duty satisfactorily. You will be part of the Data team, a diverse group of dedicated engineers who are very passionate about data. As the Data team member, you will be responsible for crafting and building large cloud-based data systems that will serve as the backbone for the enterprise data management and analytics capabilities. You will join the core team responsible for the design, development, and implementation. You will work closely with business and technology partners, internal and external. We will define system architecture, technology stack and its tactical implementation. You will help us take on unique technical challenges associated with handling large datasets and managing streaming data in public cloud and hybrid environments, build large and complex data pipelines, integrate data coming from diverse sources in different formats, implement continuous integration/continuous delivery pipelines, automate everything we can get our hands on, and be part of the Enterprise Reporting Platform implementation. You will have a rare and challenging opportunity to apply your technical skills, knowledge and experience, acquire new skills and grow with us.

Supervisory Responsibilities: N/A

Minimum Qualifications :

• BS degree in Computer Science, similar technical field or equivalent experience
• 5+ years of data-centric design, development and architecture experience with primary focus on BI, reporting and analytics solution development
• 3+ years of experience architecting, designing, and developing enterprise wide dashboards and reporting solutions with TIBCO Jaspersoft
• Experience in performance tuning of complex reports and large datasets for optimal performance and maintainability
• Expertise in iReport Designer, creating Ad Hoc reports, Views and Domains
• Experience with common Java application development related technologies – Servlets, XML, JSP, HTML, XHTML, DHTML, CSS, Java script a plus
Ability to design, construct foundation and implement a long-term strategy for Enterprise Reporting platform
Deep knowledge of BI tools, features and functions
Experience with Linux/OSX command line and git
• Understand data models and their relationship to reporting
• Snowflake, Redshift, Postgres MySQL or similar data handling experience
• Experience with rolling out BI platform as a self-service tool for users
• Automation of BI reports distribution in different formats (Excel, PDF)
• Knowledge of best practices in data visualization design and development
• Understand statistical constructs and how to use them in a program
• Strong knowledge of SQL, data warehousing concepts, various data management systems
• Ability to design, construct foundation and implement a long-term strategy for Enterprise Reporting platform
• Ability to interact with business users to identify reporting and data analysis needs
• Experience with Linux/ OSX command line and git
• Scripting knowledge using Shell scripting, Python, or equivalent
• Experience working with Cloud ecosystems (AWS, Azure, GCP)
Understand statistical constructs and how to use them in a program
• Understanding of the software development life cycle (SDLC) in Waterfall, Lean, and Agile work environments
Understand data models and their relationship to reporting
Understanding of financial markets for derivatives and derivatives instruments
• Ability to develop and follow defined processes in structured environment
Excellent communication and presentation skills
• Ability to interact with business users to identify reporting and data analysis needs

Preferred Qualifications:

• Master’s degree or equivalent experience
• Hands-on experience with more than one reporting tools like Tableau, Power BI, Looker or something similar.TIBCO Jaspersoft
• Experience with data wrangling, data virtualization, data curation tools a plus
• Experience with DevOps process (exposure to GitHub, Jenkins or other CI/CD tools)
• Knowledge and experience with Terraform and Ansible
• Financial markets work experience, knowledge of trade and settlement lifecycle

Certificates or Licenses:

• BI tool certification as a plus
• AWS certification as a plus

Step 1
When you find a position you're interested in, click the 'Apply' button. Please complete the application and attach your resume.

Step 2
You will receive an email notification to confirm that we've received your application.

Step 3
If you are called in for an interview, a representative from OCC will contact you to set up a date, time, and location.",2.4,"Options Clearing Corporation
2.4","Chicago, IL",501 to 1000 Employees,1973,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD),0,0,81,135,108.0,"Options Clearing Corporation
",Chicago,47,1,0,1,1,1
Warehouse Worker - Package Handler,"$10-$16 Per Hour
(Glassdoor Est.)","$14.50/hr. paid weekly for Package Handlers!

Shift: Sunrise/Preload (3:30 AM - 9:30 AM) Twilight (5:00 PM - 10:00 PM)

WAREHOUSE WORKER – PACKAGE HANDLER

Find out what you’ll become as a Package Handler at UPS. In this fast-paced warehouse job, you’ll lift, lower and slide packages up to 70 lbs. You’ll typically work 3 ½ - 4 hour shifts, approximately 17 ½ - 20 hours per week in this part-time or seasonal role. As part of the UPS team, you’ll receive a competitive hourly rate and an attractive benefits package. Take the next step on your career journey as a Package Handler/Warehouse Worker at UPS.

If you’re a student at an approved college, university, trade or technical school, UPS offers an educational assistance program that could provide you with up to $25,000 for tuition, books and fees. If you qualify, you’ll be eligible for the program on your first day of work at UPS.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",3.5,"UNITED PARCEL SERVICE
3.5","Northbrook, IL",10000+ Employees,1907,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),1,0,10,16,13.0,"UNITED PARCEL SERVICE
",Northbrook,113,0,0,0,0,0
Escrow Closer,"$25K-$53K
(Glassdoor Est.)","Escrow Closer/Title Agent/Escrow Officer*
Fidelity National Title*
Chicago, IL
Job Summary: *
The Escrow Officer is responsible to effectively manage the real estate closing transaction for insuring title insurance. This position requires the Escrow Officer to exercise extreme independent judgment and to possess the knowledge and experience necessary to efficiently handle any situation which may arise during the escrow process.
Job Roles: *
Manage the entire real estate closing process, including compliance with auditing requirements, lender instructions, title requirements, company requirements and other written instructions
Understand the escrow process to determine what steps need to be taken to transfer the title of property pursuant to the conditions called for in the real estate contract and lender instructions
Collaborate with title department to resolve title issues
Prepare all closing documents including the CD necessary to ensure title insurance is issued at closing
Oversee the issuance of checks, bills and statements, receipts, and any other documents needed to ensure customer satisfaction
Secure all documents (corrective and others) that may be required for the issuance of title insurance
Conduct closing with customer, realtor, lenders, and attorneys
Assist customers and clients with closing related questions
Prior to disbursement, confirm all funds are collected, all appropriate documents are checked for accuracy, signatures are collected, and acknowledgements and legal descriptions are correct
Correct all taxes due, HOA dues, and any delinquencies and/or principal and interest
Ensure all payoffs have been collected, mailed, delivered or wired according to instructions
Verify against the CD/Master ALTA statement that all disbursements have been paid correctly
Prior to recording, verify all legal documents for correct acknowledgements, legal, and lien information
Work with escrow assistants in the real estate transaction process
Manage and develop client relationships to ensure future real estate closing transactions
Market new business and make calls on current and prospective clients
Correspond with lenders, builders, real estate agents and attorneys as needed
Perform other duties as assigned by manager
Role Specific Knowledge: *
Familiar with standard concepts, practices, and procedures within the escrow/title industry field.
Good client relations and organizational skills.
Knowledge of SoftPro a plus.
Familiar with APLD, MyDec, Chicago Water and Zoning (preferred but not required).
Ability to read and interpret documents.
Detail-oriented and professional; able to handle confidential information.
Strong communication, both verbal and written.
Ability to deal with multiple types of roles such as real estate sellers, buyers, agents and brokers.
Ability to multi task.
Notary public or be bondable.
Education, Licensure, and Experience: *
Completion of a High School diploma or GED required.
Company provides Continuing Education training.
Job Type: Full-time

Experience:
Escrow Closer/Officer: 2 years (Required)
Residential closing: 3 years (Required)
Education:
High school or equivalent (Required)
Additional Compensation:
Commission
Bonuses
Work Location:
Chicago
Benefits:
Health insurance
Dental insurance
Vision insurance
401K
Employee Stock Purchase
Paid time off
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Experience:
Closing: 1 year (Preferred)",3.1,"Fidelity National Title
3.1","Chicago, IL",51 to 200 Employees,-1,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10 to $25 million (USD),0,0,25,53,39.0,"Fidelity National Title
",Chicago,-1,0,0,0,0,0
Automotive Field Sales Representative - Road Warriors Only,"$25K-$58K
(Glassdoor Est.)","If you are truly an automotive-focused road warrior who knows how to close business, Penn Warranty Corp wants to talk with you! Due to anticipated growth in Penn Warranty Corporation's business in the Chicago metro area, we are looking to add a Road Warrior Field Sales Representative to our Midwest Region sales team. The Illinois territory encompasses the entire state of Illinois, with a majority of the business in the Chicago metro area. This is established territory with many working accounts.

Penn Warranty Corporation is a well-respected company, with over 30 years experience in the (VSC) vehicle service contract and ancillary products market to independent and franchise dealerships throughout the United States.

The Dealer Development Manager is a B2B sales position, on-boarding new accounts, servicing existing accounts, training dealers and service centers though daily face to face sale calls within the assigned territory. Developing and managing a weekly pipeline of business that consistently meets budgets and sales goals.
Essential Functions of a Penn Warranty Dealer Development Manager: *
· Creating and executing a sales plan to build revenue

· Getting on the road every morning, prepared to win

· Making sales calls, both cold calls and sales service calls

· Listening to customer needs and selling to those needs and the profile of the dealer

·Understanding and effectively communicating product knowledge to Dealers

.Preparing and making presentations of products and helping dealers select those that are best suited to their needs

· Maintaining and building relationships with dealerships within the assigned territory

· Monitoring competition by gathering information on pricing and products

· Building revenue based on successful execution of a proven sales plan

· Keeping management informed by submitting, via a company-supplied computer, contact reports and e-mails pertaining to activity in the territory

· Assisting with resolving customer issues

· Maintaining an adequate inventory of sales supplies for placement at dealerships

· Participating in trade shows and conventions

· Making 8-12 face-to-face dealer sales and service calls per day
Education and Experience: *
· Experience in business-to-business sales preferred

· Pre-owned Automotive dealership experience preferred but not necessary

· Finance, Insurance, and service contract experience is desirable

· Strong presentation skills

· Proven experience meeting sales goals

· Solid math skills

· Strong computer skills, including familiarity with Microsoft Office Products – Word, Excel and PowerPoint

· Must complete a drug screening and background check upon hire

· Valid Driver’s license, proof of insurance, and reliable transportation
Key Competencies: *
· Sales and results oriented

· Ability to work independently

· Excellent written and verbal communication skills

· Strong Presentation skills

· Solid Client relationships

· Demonstrated Closing skills

· Proven Negotiation skills

· Automotive knowledge

· Multi-tasking

· Organization skills

· Adaptability

The successful candidate must live within the sales territory.

We are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

Job Type: Full-time

Pay: $65,000.00 - $75,000.00 per year

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Schedule
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Tuition Reimbursement
Vision Insurance
Schedule:
8 Hour Shift
Monday to Friday
Supplemental Pay:
Bonus Pay
Commission Pay
Experience:
auto sales: 2 years (Preferred)
License:
Driver's License (Required)
Work authorization:
United States (Required)
Work Location:
On the road
Paid Training:
Yes
Management:
Ops Manager
Typical start time:
9AM
Typical end time:
6PM
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Aggressive -- competitive and growth-oriented
Outcome-oriented -- results-focused with strong performance culture
Stable -- traditional, stable, strong processes
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Company's website:
www.PennWarranty.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
Yes",2.9,"Penn Warranty Corp.
2.9","Chicago, IL",51 to 200 Employees,1988,Company - Private,Insurance Carriers,Insurance,Less than $1 million (USD),0,0,25,58,41.5,"Penn Warranty Corp.
",Chicago,32,0,0,1,0,0
FT & PT Package Handler - Warehouse,"$13-$15 Per Hour
(Glassdoor Est.)","FedEx Ground is an essential business that needs people to help us support the economy, handling life-saving medications and other items that keep our communities as prepared as possible during these uncertain times.
FedEx Ground will continue to hire for essential positions like this one.

FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment. Part-time employees typically work a 2-4-hour shift per day. Full-time employees work approximately two shifts per day of varying lengths. Package Handlers are responsible for warehouse duties including: the physical loading, unloading and/or sorting of packages of varying sizes and weights by hand, including lifting, pushing, pulling, carrying, scanning, placing packages, as well as physical bending, twisting, kneeling and etc. in a safe and efficient manner. Shifts may vary depending on warehouse package volume and business needs.

Package Handlers will receive a competitive hourly rate and are eligible for an attractive benefits package including medical, dental, vision, vacation, holiday pay, parental leave and tuition assistance after completion of an eligibility period. Flexible schedules are offered at many of our locations and will be discussed during the hiring process.

Individuals who are interested in starting their journey with FedEx Ground must be at least 18 years of age and will be required to watch a virtual job preview before moving forward with the employment application process.

Reasonable accommodations are available for qualified individuals with disabilities throughout the application process.

Address: 920 W Taylor Rd
City: Romeoville
State: Illinois
Zip Code: 60446
Domicile Location: P608
Additional Location Information: ***Up TO 18.50/HR***
DRIVE THRU HIRING EVENT
SEPTEMBER 12, 2020
@ 10AM-2PM

ADDRESS: 920 W TAYLOR ROAD
ROMEOVILLE, IL 60446
Please have application completed*
EEO Statement

FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce",3.3,"FedEx Ground PH US
3.3","Romeoville, IL",10000+ Employees,2000,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),1,0,13,15,14.0,"FedEx Ground PH US
",Romeoville,20,0,0,0,0,0
Technology Support Specialist,"$32K-$71K
(Glassdoor Est.)","Job Scope:

The Habitat Company is seeking a self-motivated Technology Support Specialist to provide support to our internal teams on a wide range of software and hardware solutions. This position plays a key role in diagnosing, troubleshooting, and resolving helpdesk questions and issues, providing education to end users on functions and features while working with them, and properly escalating potential problems as needed.

Duties and Responsibilities:
Provide daily helpdesk support to our organizational users
Responsible for supporting a wide range of software products including: Microsoft 365, Microsoft Teams, Symantec and Mimecast security solutions, Adobe, Yardi Property management is a plus
Responsible for the review, implementation and upgrade of IT systems and services to ensure organizational objectives are obtained
Microsoft 365 network administration
Citrix and WatchGuard routers
PC’s, laptops, tablets and mobile devices
Networked printers, scanners and copiers
Responsible for maintaining production environments to ensure delivery of IT services
Responsible for evaluating and recommending new or enhanced approaches to deliver IT services
Other duties as assigned
Skills and Qualifications:
Bachelor’s Degree in a Technology or Technology related field
Experience using Microsoft 365, Microsoft Teams and Yardi property management a plus
Self-motivated and Customer service focused
Team oriented and driven
Attention to detail
Creative with solid problem-solving skills
Excellent communication skills
Positive attitude
We operate in an environment where diversity is valued and individual initiative is rewarded. The scale of our portfolio offers challenges and opportunities for individuals who are looking to further their careers with an innovative company. We offer competitive compensation and benefit package along with development and growth opportunities.

The Habitat Company is an EO employer – M/F/Veteran/Disability/Sexual Orientation/Gender Identity",3.1,"The Habitat Company
3.1","Chicago, IL",1001 to 5000 Employees,1971,Company - Private,Real Estate,Real Estate,$2 to $5 billion (USD),0,0,32,71,51.5,"The Habitat Company
",Chicago,49,0,0,1,0,0
Director of Pharmacy,"$86K-$112K
(Glassdoor Est.)","Essential Responsibilities:
Plans and implements procedures in hospital pharmacy according to hospital policies and legal requirements.
Directs pharmacy personnel programs, such as hiring, training, and intern programs.
Confers with computer personnel to develop computer programs for Pharmacy information management systems, patient and department charge systems, and inventory control.
Analyzes records to indicate prescribing trends and excessive usage.
Prepares Pharmacy budget and department reports required by hospital administrators.
Attends staff meetings to advise and inform hospital medical staff of drug applications and characteristics.
Observes Pharmacy personnel at work and develops quality assurance techniques to ensure safe, legal and ethical practices.
Oversees preparation and dispensation of experimental drugs.
Participates in Pharmacy and Therapeutics Committee.
Designs and formulates programs for departmental and housewide continuous quality improvement.
Coordinates departmental continuing education activities.
Participates in interdepartmental communication and information exchange.
Qualifications:
Current State Registered Pharmacist License
Pharmacy Degree from an approved American College of Pharmacology.
Advanced Degree is desired.
Minimum 2 years Pharmacist experience.
One to Two years management experience
Job Type: Full-time

Benefits:
401(k) Matching
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Vision Insurance
Schedule:
8 Hour Shift
Day shift
Monday to Friday
Experience:
Management: 1 year (Required)
Pharmacist: 2 years (Required)
Education:
Bachelor's (Required)
License:
Licensed Pharmacist (Required)
Registered Pharmacist (Required)
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",2.5,"JACKSON PARK HOSPITAL AND MEDICAL CENTER
2.5","Chicago, IL",501 to 1000 Employees,1960,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),0,0,86,112,99.0,"JACKSON PARK HOSPITAL AND MEDICAL CENTER
",Chicago,60,0,0,0,0,0
"IT Analyst - Governance, Risk & Compliance","$49K-$91K
(Glassdoor Est.)","Beam Suntory is Crafting the Spirits that Stir the World. Rooted in two centuries of family heritage, Beam Suntory has evolved into the world's third largest leading premium spirits company ... where each employee is treated like family and trusted with legacy. With our greatest assets - our premium spirits and our people - we're driving growth through impactful marketing, innovation and an entrepreneurial spirit. Beam Suntory is a place where you can come Unleash your Spirit by making an impact each and every day.

IT Analyst - Governance, Risk & Compliance

What makes this a great opportunity?

•Beam Suntory is a leader in the spirits industry with a track record of profitability and growth
•Opportunity to help shape the information security roadmap of the future
•Growth potential beyond this role

Role Responsibilities

Job description

The IT Governance, Risk and Compliance Analyst is a key member of the global information security team who works collaboratively with IT within the overall IT Security function, focusing on IT governance, IT Controls and broadening of the IT Compliance and Risk Management programs.

This position supports the ongoing IT Security risk management program and building out the new IT Compliance function within the Information Technology organization, being primarily focused on design and implementation of controls and compliance activities as part of regularly scheduled processes (e.g., ITGC, system maintenance) and key initiatives (e.g., IT roadmap projects) at the Company. Key responsibilities include:
Contributor to the Beam Suntory IT Governance, Risk and Compliance program
Assist in the development of IT Compliance function with a focus on NIST
Assists with GRC technology administration
Assist in the management of Beam Suntory’s NIST framework program, including coordination of periodic risk assessments, identification of new and changing requirements, and collaboration with Internal and External control owners and Audit teams to ensure appropriate risk coverage
Assist with Identity and Access Management tasks
RESPONSIBILITIES AND DUTIES:
Assist the Beam Suntory IT Security team in monitoring the SOX compliance program. Act as lead for IT on key internal control related matters (Sarbanes Oxley (SOX) compliance, segregation of duties, policies and procedures, the design of controls in systems and processes, and evaluation of risk).
Serve as tower lead for outsourced IAM (Identity and Access Management) for Windows AD and IAM tool, which is performed by an outsourced third party organization. Establish relationship with third party provider, escalate issues with vendor appropriately and work collaboratively with the vendor to resolve IAM issues. Assist with SAP IAM tasks as needed.
Assist in serving as IT Governance, Risk, and Compliance (GRC) analyst and GRC tool administrator. Administer periodic risk assessments, track issues/action plans and drive risk remediation actions to completion. Ensure GRC tool configuration in line with IT Compliance requirements. Perform administrative tasks around IAM review daily processes, reviews of administrative access, service accounts, terminated users, and other required reviews.
Serve as team member during IT projects formed to drive business process and systems enhancements with final word on controls related matters. Develop and proactively enhance IT controls by enhancing and supplementing policy, process, and standard operating procedures.
Support IT Roadmap projects by advising on minimum IT risks founded in NIST, SOX and best practices.
Drive process improvement initiatives across the IT organization.
Qualifications & Experience
Bachelor’s Degree in management information systems (MIS), Accounting, Computer Science or Finance preferred though not required; CISA (or equivalent) preferred; or relevant technical experience
Ideal candidate has worked with a GRC tool, has some experience in IAM (Identity and Access Management) and has worked with business and IT functional areas to develop and implement mitigating controls
Experience with identity and access management (IAM)
Experience performing user administration in Windows Active Directory (AD) or SAP
Experience working with a third-party vendor for IAM a plus
Experience with GRC software (i.e. LogicGate, Archer or similar) a plus
NIST, AD, SAP experience
Relevant experience in IT controls or IT Auditing with some background in segregation of duties or financial controls
Experience of working in a global IT enterprise environment with knowledge of IT controls (change management) and systems audit requirements preferred
Some knowledge of financial/business processes and automated controls a plus with a focus on SAP or ERP financial and production systems experience
SAP or other Experience with Azure, Application Security tools, web-based security tools, SAP Security Vulnerability Management
Strong project management and prioritization skills – ability to multi-task as needed on various projects and initiatives
MS Office software suite knowledge required
At Beam Suntory, people are our number one priority, and we believe our people grow together in diverse and inclusive environments where their unique insights, experiences and backgrounds are valued and respected. Beam Suntory is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, military veteran status and all other characteristics, attributes or choices protected by law. All recruitment and hiring decisions are based on an applicant’s skills and experience.

Nearest Major Market: Chicago

Apply now »",3.6,"Beam Suntory
3.6","Chicago, IL",1001 to 5000 Employees,2014,Company - Private,Food & Beverage Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,49,91,70.0,"Beam Suntory
",Chicago,6,0,0,0,0,0
